St  Name                           Version                        Arch   Description                                                  Licenses
ii  openssh-client                 1:8.9p1-3ubuntu0.10            amd64  secure shell (SSH) client, for secure access to remote machi BSD-2-clause BSD-3-clause Expat-with-advertising-restriction Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssh-server                 1:8.9p1-3ubuntu0.10            amd64  secure shell (SSH) server, for secure access from remote mac BSD-2-clause BSD-3-clause Expat-with-advertising-restriction Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssh-sftp-server            1:8.9p1-3ubuntu0.10            amd64  secure shell (SSH) sftp server module, for SFTP access from  BSD-2-clause BSD-3-clause Expat-with-advertising-restriction Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssl                        3.0.2-0ubuntu1.18              amd64  Secure Sockets Layer toolkit - cryptographic utility         Apache-2.0 Artistic Artistic or GPL-1+ GPL-1+
ii  passwd                         1:4.8.1-2ubuntu2.2             amd64  change and administer password and group data                GPL-2
ii  patch                          2.7.6-7build2                  amd64  Apply a diff file to an original                             GPL
ii  patchelf                       0.14.3-1                       amd64  modify properties of ELF executables                         GPL-3.0+ LGPL-2.1+
ii  perl                           5.34.0-3ubuntu1.3              amd64  Larry Wall's Practical Extraction and Report Language        Artistic Artistic or GPL-1+ or Artistic-dist Artistic-2 Artistic-dist BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic or Artistic-dist GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-base                      5.34.0-3ubuntu1.3              amd64  minimal Perl system                                          Artistic Artistic or GPL-1+ or Artistic-dist Artistic-2 Artistic-dist BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic or Artistic-dist GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-modules-5.34              5.34.0-3ubuntu1.3              all    Core Perl modules                                            Artistic Artistic or GPL-1+ or Artistic-dist Artistic-2 Artistic-dist BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic or Artistic-dist GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  pigz                           2.6-1                          amd64  Parallel Implementation of GZip                              GPL
ii  pinentry-curses                1.1.1-1build2                  amd64  curses-based PIN or pass-phrase entry dialog for GnuPG       GPL-2 GPL-2+ LGPL-3+ LGPL-3+ or GPL-2+ X11
ii  pkg-config                     0.29.2-1ubuntu3                amd64  manage compile and link flags for libraries                  GPL
ii  procps                         2:3.3.17-6ubuntu2.1            amd64  /proc file system utilities                                  GPL-2.0+ LGPL-2.0+ LGPL-2.1+
ii  protobuf-compiler              3.12.4-1ubuntu7.22.04.1        amd64  compiler for protocol buffer definition files                Apache-2.0 BSD-3-Clause~Google Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  python-is-python3              3.9.2-2                        all    symlinks /usr/bin/python to python3                          GPL-3.0
ii  python3                        3.10.6-1~22.04.1               amd64  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  python3-dev                    3.10.6-1~22.04.1               amd64  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  python3-distutils              3.10.8-1~22.04                 all    distutils package for Python 3.x                             GPL-compatible GPL-compatible licenses
ii  python3-lib2to3                3.10.8-1~22.04                 all    Interactive high-level object-oriented language (lib2to3)    GPL-compatible GPL-compatible licenses
ii  python3-minimal                3.10.6-1~22.04.1               amd64  minimal subset of the Python language (default python3 versi GPL-compatible GPL-compatible licenses
ii  python3-pip                    22.0.2+dfsg-1ubuntu0.5         all    Python package installer                                     Apache-2.0 Apache-2.0 OR BSD-2 BSD-2 BSD-3 Expat ISC LGPL-2.1+ MPL-2 Python
ii  python3-pkg-resources          59.6.0-1.2ubuntu0.22.04.2      all    Package Discovery and Resource Access using pkg_resources    Apache-2.0
ii  python3-setuptools             59.6.0-1.2ubuntu0.22.04.2      all    Python3 Distutils Enhancements                               Apache-2.0
ii  python3-wheel                  0.37.1-2ubuntu0.22.04.1        all    built-package format for Python                              Expat GPL-3
ii  python3.10                     3.10.12-1~22.04.6              amd64  Interactive high-level object-oriented language (version 3.1 GPL-2
ii  python3.10-dev                 3.10.12-1~22.04.6              amd64  Header files and a static library for Python (v3.10)         GPL-2
ii  python3.10-minimal             3.10.12-1~22.04.6              amd64  Minimal subset of the Python language (version 3.10)         GPL-2
ii  rapidjson-dev                  1.1.0+dfsg2-7                  all    fast JSON parser/generator for C++ with SAX/DOM style API    BSD-3-clause Expat GPL-2+
ii  readline-common                8.1.2-1                        all    GNU readline and history libraries, common files             GFDL GPL-3
ii  rpcsvc-proto                   1.4.2-0ubuntu6                 amd64  RPC protocol compiler and definitions                        BSD-3-clause GPL-2+-autoconf-exception GPL-3+-autoconf-exception MIT permissive-autoconf-m4 permissive-autoconf-m4-no-warranty permissive-configure permissive-fsf permissive-makefile-in
ii  rsync                          3.2.7-0ubuntu0.22.04.2         amd64  fast, versatile, remote (and local) file-copying tool        GPL-3
ii  sed                            4.8-1ubuntu2                   amd64  GNU stream editor for filtering/transforming text            GPL-3
ii  sensible-utils                 0.0.17                         all    Utilities for sensible alternative selection                 All-permissive GPL-2+ configure installsh
ii  shared-mime-info               2.1-2                          amd64  FreeDesktop.org shared MIME database and spec                GPL
ii  socat                          1.7.4.1-3ubuntu4               amd64  multipurpose relay for bidirectional data transfer           GPL-2 GPL-3
ii  sox                            14.4.2+git20190427-2+deb11u2ub amd64  Swiss army knife of sound processing                         Expat FSF_unlimited FSF_unlimited or GPL-2+ with AutoConf exception FSF_unlimited or GPL-2+ with LibTool exception GPL GPL-2+ GPL-2+ or LGPL-2.1+ GPL-2+ with AutoConf exception GPL-2+ with LibTool exception ISC LGPL-2.1+ LGPL-2.1+ or MIT/X11 MIT/X11
ii  swig                           4.0.2-1ubuntu1                 all    Generate scripting interfaces to C/C++ code                  GPL GPL-3
ii  swig4.0                        4.0.2-1ubuntu1                 amd64  Generate scripting interfaces to C/C++ code                  GPL GPL-3
ii  sysvinit-utils                 3.01-1ubuntu1                  amd64  System-V-like utilities                                      GPL-2+
ii  tar                            1.34+dfsg-1ubuntu0.1.22.04.2   amd64  GNU version of the tar archiving utility                     GPL-2 GPL-3
ii  ubuntu-keyring                 2021.03.26                     all    GnuPG keys of the Ubuntu archive                             GPL
ii  ucf                            3.0043                         all    Update Configuration File(s): preserve user changes to confi GPL-2
ii  unzip                          6.0-26ubuntu3.2                amd64  De-archiver for .zip files                                   unknown
ii  usrmerge                       25ubuntu2                      all    Convert the system to the merged /usr directories scheme     GPL-2
ii  util-linux                     2.37.2-4ubuntu3.4              amd64  miscellaneous system utilities                               BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  vim                            2:8.2.3995-1ubuntu2.19         amd64  Vi IMproved - enhanced vi editor                             Apache Apache or Expat Artistic-1 BSD-2-clause BSD-3-clause Compaq EDL-1 Expat Expat or GPL-2 Expat or Vim GPL-1+ GPL-1+ or Artistic-1 GPL-2 GPL-2+ GPL-3+ LGPL-2.1+ OPL-1+ SRA UC Vim Vim-Regexp X11 XPM public-domain
ii  vim-common                     2:8.2.3995-1ubuntu2.19         all    Vi IMproved - Common files                                   Apache Apache or Expat Artistic-1 BSD-2-clause BSD-3-clause Compaq EDL-1 Expat Expat or GPL-2 Expat or Vim GPL-1+ GPL-1+ or Artistic-1 GPL-2 GPL-2+ GPL-3+ LGPL-2.1+ OPL-1+ SRA UC Vim Vim-Regexp X11 XPM public-domain
ii  vim-runtime                    2:8.2.3995-1ubuntu2.19         all    Vi IMproved - Runtime files                                  Apache Apache or Expat Artistic-1 BSD-2-clause BSD-3-clause Compaq EDL-1 Expat Expat or GPL-2 Expat or Vim GPL-1+ GPL-1+ or Artistic-1 GPL-2 GPL-2+ GPL-3+ LGPL-2.1+ OPL-1+ SRA UC Vim Vim-Regexp X11 XPM public-domain
ii  wget                           1.21.2-2ubuntu1.1              amd64  retrieves files from the web                                 GFDL-1.2 GPL-3
ii  x11-common                     1:7.7+23ubuntu2                all    X Window System (X.Org) infrastructure                       GPL
ii  xkb-data                       2.33-1                         all    X Keyboard Extension (XKB) configuration data                unknown
ii  xxd                            2:8.2.3995-1ubuntu2.19         amd64  tool to make (or reverse) a hex dump                         Apache Apache or Expat Artistic-1 BSD-2-clause BSD-3-clause Compaq EDL-1 Expat Expat or GPL-2 Expat or Vim GPL-1+ GPL-1+ or Artistic-1 GPL-2 GPL-2+ GPL-3+ LGPL-2.1+ OPL-1+ SRA UC Vim Vim-Regexp X11 XPM public-domain
ii  xz-utils                       5.2.5-2ubuntu1                 amd64  XZ-format compression utilities                              Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  zlib1g:amd64                   1:1.2.11.dfsg-2ubuntu9.2       amd64  compression library - runtime                                Zlib
ii  zlib1g-dev:amd64               1:1.2.11.dfsg-2ubuntu9.2       amd64  compression library - development                            Zlib
